,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
1361,14364518,0.68,False,De Baarsjes - Oud-West,52.38,4.875,Entire home/apt,4,2,3,7,170.0,7,28,True,0,0,4.87,False,42.5,1190.0,0.06,0.19,0.22,4.99,0.6219178082191781,852.3561643835617
1362,14387468,1.0,False,Westerpark,52.38,4.87,Entire home/apt,4,2,2,9,206.0,2,5,True,0,0,4.63,True,51.5,412.0,0.08,0.16,0.24,4.99,,
1363,14394450,0.2,False,De Pijp - Rivierenbuurt,52.34,4.895,Entire home/apt,2,1,1,2,150.0,2,30,True,0,1,4.55,False,75.0,300.0,0.06,0.16,0.2,4.99,0.057534246575342465,755.7534246575342
1364,14412467,0.45,False,Zuid,52.34,4.883,Private room,2,1,2,4,175.0,2,1125,True,0,0,4.96,True,87.5,350.0,0.06,0.17,0.13,4.99,,
1365,14412610,0.92,False,Centrum-Oost,52.38,4.914,Private room,2,1,1,5,85.0,4,1125,True,2,2,4.9,True,42.5,340.0,0.06,0.1,0.16,4.99,0.5698630136986301,442.82191780821915
1366,14441994,0.6,False,Oud-Oost,52.34,4.91,Entire home/apt,2,1,1,9,116.0,2,9,True,0,0,4.89,False,58.0,232.0,0.06,0.19,0.16,4.99,,
1367,14462366,0.41,False,Centrum-West,52.38,4.883,Entire home/apt,3,2,2,12,221.0,4,1125,True,0,0,4.56,False,73.7,884.0,0.12,0.17,0.25,4.99,0.0,1106.7123287671234
1368,14465905,0.58,False,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,4,2,2,12,388.0,4,30,True,11,0,4.92,False,97.0,1552.0,0.07,0.23,0.26,4.99,0.2191780821917808,1930.3013698630136
1369,14479187,1.0,False,De Baarsjes - Oud-West,52.38,4.867,Private room,3,1,3,7,114.0,2,1125,True,0,0,4.9,False,38.0,228.0,0.07,0.13,0.15,4.99,,
1370,14526096,0.97,False,IJburg - Zeeburgereiland,52.34,5.004,Private room,1,1,1,6,64.0,1,45,True,5,6,4.0,False,64.0,64.0,0.06,0.12,0.17,2.99,,
1371,14548324,1.0,False,Westerpark,52.38,4.887,Entire home/apt,4,2,2,15,376.0,2,1125,True,1,0,4.85,True,94.0,752.0,0.0,0.21,0.31,4.99,0.8301369863013699,2848.4109589041095
1372,14572858,1.0,False,Oostelijk Havengebied - Indische Buurt,52.38,4.938,Entire home/apt,4,2,2,4,185.0,3,30,True,3,0,4.83,False,46.25,555.0,0.06,0.17,0.22,4.99,0.00821917808219178,925.0
1373,14610851,0.42,False,Buitenveldert - Zuidas,52.34,4.883,Entire home/apt,2,1,1,6,120.0,4,1125,True,0,0,5.0,False,60.0,480.0,0.06,0.13,0.18,4.99,0.0,600.0
1374,14665451,0.0,False,Oostelijk Havengebied - Indische Buurt,52.38,4.945,Entire home/apt,5,3,5,9,175.0,2,7,True,0,0,4.85,False,35.0,350.0,0.07,0.18,0.18,4.99,,
1375,14706627,0.19,False,De Pijp - Rivierenbuurt,52.34,4.9,Entire home/apt,4,2,2,5,219.0,1,37,True,1,7,4.79,False,54.75,219.0,0.07,0.31,0.21,4.99,,
1376,14711799,1.0,False,Oud-Noord,52.38,4.918,Private room,2,1,1,7,85.0,2,1125,True,0,0,4.68,True,42.5,170.0,0.05,0.1,0.15,4.99,,
